Censo,Localidad nivel 1,Localidad nivel 2,Localidad nivel 3,Localidad nivel 4,Censadores,Fecha,Inicio,Fin,Nivel de agua,Viento,Temperatura,Visibilidad,Condiciones atmosféricas,Se censa,Con aves,Observaciones
CT_200512,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela Grande,,,,,Desconocido (6),Desconocido (0),Desconocido (0),Desconocido (0),Desconocido (0),No,No,"Durante este periodo, esta localidad se censaba sin desglosar, bajo el nombre de 'Margazuela'."
CT_200512,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Cantaritas,Veta Adalid,,,,,Desconocido (6),Desconocido (0),Desconocido (0),Desconocido (0),Desconocido (0),No,No,"Hasta enero de 2010, esta localidad no se censaba de forma recurrente."
CT_200512,Parque Nacional De Doñana,Los Caracoles,Los Caracoles,Caracoles (Zona Este),,,,,Desconocido (6),Desconocido (0),Desconocido (0),Desconocido (0),Desconocido (0),No,No,"Esta localidad se censaba como 'Caracoles', sin subdivisión."
CT_200512,Parque Nacional De Doñana,Los Caracoles,Los Caracoles,Caracoles (Zona Oeste),,,,,Desconocido (6),Desconocido (0),Desconocido (0),Desconocido (0),Desconocido (0),No,No,"Esta localidad se censaba como 'Caracoles', sin subdivisión."
CT_200512,Complejo lagunar de El Acebuche,Complejo lagunar de El Acebuche,Complejo lagunar de El Acebuche,Huerto,5,2005-12-21,,,,,,,,No,No,
CT_200512,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,La Dehesilla,18,2005-12-07,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,Laguna de Tarelo,18,2005-12-07,09:40:00,14:00:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Salinas De Bonanza,Salinas De Bonanza,Salinas Portugueses,Los Portugueses,18,2005-12-07,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Lagunas de Bonanza,18,2005-12-07,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Salinas De Bonanza,Salinas De Bonanza,Salinas Portugueses,Los Riacheros,18,2005-12-07,,,Casi seco (1),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Salinas De Bonanza,Salinas De Bonanza,Salinas Portugueses,Marisma de Henares,18,2005-12-07,,,Bajo (2),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,San Carlos,18,2005-12-07,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,Santa Teresa,18,2005-12-07,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Parque Nacional De Doñana,Lucio De La FAO,Lucio De La FAO,Lucios FAO,18,2005-12-10,10:00:00,12:00:00,Bajo (2),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Grande,Lucio del Lobo Grande,18,2005-12-10,,,Bajo (2),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio De Marilopez Grande,Marilópez Grande,18,2005-12-10,10:00:00,12:00:00,Casi seco (1),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Parque Natural Norte,Entremuros,Entremuros De Los Pobres,Entremuros (Zona 4),18,2005-12-10,,,Casi seco (1),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Parque Natural Norte,Entremuros,Entremuros De Los Pobres,Entremuros (Zona 1),18,2005-12-10,10:30:00,12:30:00,Casi seco (1),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Parque Natural Norte,Entremuros,Entremuros De Los Pobres,Entremuros (Zona 2),18,2005-12-10,,,Casi seco (1),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Parque Natural Norte,Entremuros,Entremuros De Los Pobres,Entremuros (Zona 3),18,2005-12-10,,,Casi seco (1),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Parque Natural Norte,Entremuros,Entremuros De Los Pobres,Entremuros (Zona 5),18,2005-12-10,,,Casi seco (1),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,A1,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,A2,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,A3,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,A4,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,A5,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,A6,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,A7,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,A8,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,A9,18,2005-12-12,,,Seco (0),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,No,
CT_200512,Veta La Palma,Veta La Palma,Almajar Perimetral,Almajales perimetrales,3,2005-12-12,,,Bajo (2),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Almajar Perimetral,Almajales perimetrales,15,2005-12-12,,,Bajo (2),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,B1,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,B2,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,B3,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,B4,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,B5,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,B6,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,B7,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,B8,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas AB,B9,18,2005-12-12,,,Seco (0),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,No,
CT_200512,Veta La Palma,Veta La Palma,Balsas CDE,C0,6,2005-12-12,09:38:00,09:49:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas CDE,C1,6,2005-12-12,09:51:00,10:06:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas CDE,C2,6,2005-12-12,10:06:00,10:21:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas CDE,C3,6,2005-12-12,10:25:00,10:40:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas CDE,C4,6,2005-12-12,11:37:00,11:47:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas CDE,C6,6,2005-12-12,12:27:00,12:35:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas CDE,C8,6,2005-12-12,12:47:00,12:58:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Cuquero Chico,Cuquero Chico,3,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Cuquero Grande,Cuquero Grande,3,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas CDE,D3,6,2005-12-12,10:40:00,10:52:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas CDE,D4,6,2005-12-12,11:19:00,11:30:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas CDE,D5,6,2005-12-12,12:02:00,12:12:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas CDE,D6,6,2005-12-12,12:14:00,12:27:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas CDE,E3,6,2005-12-12,11:03:00,11:09:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Balsas CDE,E4,6,2005-12-12,11:11:00,11:18:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Esparragosilla,Esparragosilla,3,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Gavetas,Gaveta 3,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Veta La Palma,Veta La Palma,Almajar Perimetral,Lucio Cortijo (El Turismo),3,2005-12-12,09:00:00,14:30:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Bomba de Pantomima,6,2005-12-13,08:43:00,14:31:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Caño Navarro,6,2005-12-13,08:43:00,14:31:00,Bajo (2),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Capitán,6,2005-12-13,08:43:00,14:31:00,Bajo (2),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Canario,6,2005-12-13,08:43:00,14:31:00,Bajo (2),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Arrozal Isla Menor,El Cestero,6,2005-12-13,08:15:00,15:21:00,Bajo (2),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Conde,6,2005-12-13,08:43:00,14:31:00,Desconocido (6),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,6,2005-12-13,08:43:00,14:31:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Reboso,6,2005-12-13,08:43:00,14:31:00,Casi seco (1),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Arrozal Isla Menor,Isla Menor,6,2005-12-13,08:15:00,15:21:00,Casi seco (1),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,La Mejorada,6,2005-12-13,08:43:00,14:31:00,Casi seco (1),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,La Rocina,La Rocina,3,2005-12-13,09:00:00,11:00:00,Casi seco (1),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Arrozal Isla Menor,Las Segundas,6,2005-12-13,08:15:00,15:21:00,Seco (0),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela,6,2005-12-13,08:43:00,14:31:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,Marismas Del Rocío,Marismas Del Rocío,3,2005-12-13,10:30:00,12:00:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Olivillos,6,2005-12-13,15:50:00,16:00:00,Alto (4),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Río Guadaira,6,2005-12-13,15:22:00,15:45:00,Alto (4),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Tijeras,6,2005-12-13,08:43:00,14:31:00,Bajo (2),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Brazo De La Torre,Brazo de la Torre,6,2005-12-14,08:25:00,09:29:00,Bajo (2),Sin viento (1),Frío (1),Despejado (1),Nubes (2),Sí,Sí,
CT_200512,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Cantaritas,Cantarita,6,2005-12-14,09:12:00,12:58:00,Casi seco (1),Sin viento (1),Frío (1),Despejado (1),Nubes (2),Sí,Sí,
CT_200512,Parque Natural Norte,Guadiamar Encauzado,Caño Guadiamar PNAT,Guadiamar encauzado,15,2005-12-14,,,Seco (0),Moderado (2),Frío (1),Despejado (1),Nubes (2),Sí,No,
CT_200512,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Charco del Toro,5,2005-12-16,,,Seco (0),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,No,
CT_200512,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Dulce,5,2005-12-16,,,Bajo (2),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Laguna Las Pajas,5,2005-12-16,13:15:00,16:30:00,Casi seco (1),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,La Sanguijuela,5,2005-12-16,,,Seco (0),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,No,
CT_200512,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Santa Olalla,5,2005-12-16,,,Bajo (2),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Taraje,5,2005-12-16,,,Seco (0),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,No,
CT_200512,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Zahíllo,5,2005-12-16,,,Seco (0),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,No,
CT_200512,Complejo lagunar de El Acebuche,Complejo lagunar de El Acebuche,Complejo lagunar de El Acebuche,Acebuche,5,2005-12-21,13:40:00,14:00:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,No,
CT_200512,Parque Nacional De Doñana,Los Mimbrales,Los Mimbrales,Finca Los Mimbrales,5,2005-12-21,,,Seco (0),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,No,
CT_200512,Parque Nacional De Doñana,Los Mimbrales,Los Mimbrales,Guayules (norte),5,2005-12-21,12:00:00,12:30:00,Seco (0),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,No,
CT_200512,Parque Nacional De Doñana,Otras Lagunas RBD,Otras Lagunas RBD,Ojillo,5,2005-12-16,13:15:00,16:30:00,Seco (0),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,No,
CT_200512,Parque Nacional De Doñana,Otras Lagunas RBD,Otras Lagunas RBD,Navazo del Toro,5,2005-12-16,,,Seco (0),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,No,
CT_200511,Veta La Palma,Veta La Palma,Almajar Perimetral,Cultivos (El Turismo),,,,,Desconocido (6),Desconocido (0),Desconocido (0),Desconocido (0),Desconocido (0),No,No,"La localidad ""Cultivos (El Turismo)"" localidad empezó a censarse de forma recurrente en septiembre de 2022"
CT_200511,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Depuradora Loma de Martín Miguel,,,,,Desconocido (6),Desconocido (0),Desconocido (0),Desconocido (0),Desconocido (0),No,No,"La localidad ""Depuradora Loma de Martín Miguel"" empezó a censarse de forma recurrente en octubre de 2010"
CT_200511,Parque Natural Norte,Dehesa De Abajo,Dehesa De Abajo,Gravera junto a Dehesa de Abajo,17,,,,,,,,,No,No,No se ha realizado el censo
CT_200511,Parque Natural Norte,Dehesa De Abajo,Dehesa De Abajo,Lucio Dehesa de Abajo,17,,,,,,,,,No,No,No se ha realizado el censo
CT_200511,Veta La Palma,Veta La Palma,Cultivos De Tarfia,Cultivos de Tarfia,15,2005-11-10,,,Seco (0),Sin viento (1),Templado (2),Despejado (1),Sol (1),Sí,Sí,
CT_200511,Parque Natural Norte,Hato Blanco,Hato Blanco,Hato Blanco Viejo,15,2005-11-17,,,Casi seco (1),Sin viento (1),Frío (1),Niebla (3),Nubes (2),Sí,Sí,"Arrozal 80% fangueado, 20% sin fanguear. Todas las tablas con algo de agua."
CT_200511,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Taraje,14,2005-11-18,,,Seco (0),Sin viento (1),Templado (2),Despejado (1),Sol (1),Sí,Sí,1 C. cyaneus ♀
CT_200511,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Taraje,16,2005-11-18,,,Seco (0),Sin viento (1),Templado (2),Despejado (1),Sol (1),Sí,Sí,1 C. cyaneus ♀
CT_200511,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Zahíllo,14,2005-11-18,,,Seco (0),Sin viento (1),Templado (2),Despejado (1),Sol (1),Sí,Sí,1 C. cyaneus ♀
CT_200511,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Zahíllo,16,2005-11-18,,,Seco (0),Sin viento (1),Templado (2),Despejado (1),Sol (1),Sí,Sí,1 C. cyaneus ♀
CT_200511,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Codo de la Esparraguera,18,2005-11-09,09:45:00,14:45:00,Medio (3),Moderado (2),Templado (2),Despejado (1),Sol (1),Sí,Sí,
CT_200511,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela Chica,,,,,Desconocido (6),Desconocido (0),Desconocido (0),Desconocido (0),Desconocido (0),No,No,"Durante este periodo, esta localidad se censaba sin desglosar, bajo el nombre de 'Margazuela'."
CT_200511,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela Grande,,,,,Desconocido (6),Desconocido (0),Desconocido (0),Desconocido (0),Desconocido (0),No,No,"Durante este periodo, esta localidad se censaba sin desglosar, bajo el nombre de 'Margazuela'."
CT_200511,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Cantaritas,Veta Adalid,,,,,Desconocido (6),Desconocido (0),Desconocido (0),Desconocido (0),Desconocido (0),No,No,"Hasta enero de 2010, esta localidad no se censaba de forma recurrente."
CT_200511,Parque Nacional De Doñana,Los Caracoles,Los Caracoles,Caracoles (Zona Este),,,,,Desconocido (6),Desconocido (0),Desconocido (0),Desconocido (0),Desconocido (0),No,No,"Esta localidad se censaba como 'Caracoles', sin subdivisión."
