Censo,Localidad nivel 1,Localidad nivel 2,Localidad nivel 3,Se censa,Agua,Ambiente
CA_20051124,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Del Buen Tiro,True,Sí,Marisma
CA_20051124,Parque Nacional De Doñana,Marisma De Hinojos,Caño Guadiamar PNAC,True,No,Marisma
CA_20051124,Parque Nacional De Doñana,El Puntal,Caño Junquera A Veta Carrizosa,True,Muy poca,Marisma
CA_20051124,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Travieso,True,No,Marisma
CA_20051124,Parque Nacional De Doñana,Marismillas,De Aguas Rubias Al Hondón,True,Muy poca,Marisma
CA_20051124,Parque Nacional De Doñana,Marisma de Los Sotos,Marisma de Los Sotos,True,No,Marisma
CA_20051124,Parque Nacional De Doñana,Marisma De Hinojos,De Matasgordas A Resolimán,True,No,Marisma
CA_20051124,Parque Nacional De Doñana,Marisma RBD,Marisma RBD,True,No,Marisma
CA_20051124,Parque Nacional De Doñana,El Puntal,Marisma de El Puntal,True,No,Marisma
CA_20051124,Parque Natural Norte,Entremuros,Entremuros De Los Pobres,True,Muy poca,Otros
CA_20051124,Parque Natural Norte,Otros Cultivos,La Sarteneja,True,Sí,Arrozal
CA_20051124,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucio De Los Ánsares,True,Muy poca,Marisma
CA_20051124,Veta La Palma,Veta La Palma,Lucio De Los Cangrejos,True,No,Otros
CA_20051124,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio De Marilopez Chico,True,No,Marisma
CA_20051124,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio De Marilopez Grande,True,Poca,Marisma
CA_20051124,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucio Del Cangrejo Chico,True,Muy poca,Marisma
CA_20051124,Parque Natural Norte,Entremuros,Lucio Del Cangrejo Grande,True,Muy poca,Marisma
CA_20051124,Parque Nacional De Doñana,Marismillas,Lucio Del Hondón,True,Mucha,Marisma
CA_20051124,Veta La Palma,Veta La Palma,Lucio Del Hotel,True,Sí,Otros
CA_20051124,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Chico,True,No,Marisma
CA_20051124,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Grande,True,Sí,Marisma
CA_20051124,Parque Nacional De Doñana,Marismillas,Lucio Del Membrillo,True,No,Marisma
CA_20051124,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucios Al Norte Del Buen Tiro,True,Muy poca,Marisma
CA_20051124,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucios Al Sur De Los Ánsares,True,Muy poca,Marisma
CA_20051124,Parque Nacional De Doñana,Marismillas,Lucios De Veta Lengua Y Aguas Rubias,True,Muy poca,Marisma
CA_20051124,Parque Nacional De Doñana,El Puntal,Lucios Del Caballero y El Puntal,True,No,Marisma
CA_20051124,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,Marismas Del Rocío,True,Sí,Marisma
CA_20051124,Veta La Palma,Veta La Palma,El Italiano,True,No,Arrozal
CA_20051124,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Arrozales De Puebla E Isla Mayor,True,Sí,Arrozal
CA_20051124,Veta La Palma,Veta La Palma,Arrozales De Tarfia,True,No,Arrozal
CA_20051124,Veta La Palma,Veta La Palma,Balsas AB,True,Sí,Acuicultura
CA_20051124,Parque Natural Norte,Colonia De La Isleta De Puebla,Colonia De La Isleta De Puebla,False,Desconocido,Otros
CA_20051124,Parque Natural Norte,Dehesa De Abajo,Dehesa De Abajo,True,Poca,Otros
CA_20051124,Veta La Palma,Veta La Palma,Esparragosilla,True,Sí,Acuicultura
CA_20051124,Veta La Palma,Veta La Palma,Gavetas,True,Sí,Acuicultura
CA_20051124,Parque Natural Norte,Guadiamar Encauzado,Caño Guadiamar PNAT,True,Muy poca,Marisma
CA_20051124,Parque Natural Norte,Hato Blanco,Hato Blanco,True,Muy poca,Arrozal
CA_20051124,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,True,Mucha,Otros
CA_20051124,Parque Nacional De Doñana,Los Caracoles,Los Caracoles,True,No,Marisma
CA_20051124,Parque Nacional De Doñana,Lucio De La FAO,Lucio De La FAO,True,Mucha,Otros
CA_20051124,Veta La Palma,Veta La Palma,Lucio Del Bocón,True,Sí,Acuicultura
CA_20051124,Parque Nacional De Doñana,Marisma De Hinojos,Marisma De Hinojos,True,No,Marisma
CA_20051124,Parque Natural Norte,Marismas del Coto del Rey,Marismas del Coto del Rey,True,No,Marisma
CA_20051124,Parque Nacional De Doñana,El Partido,El Partido,True,Muy poca,Otros
CA_20051124,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,True,Sí,Salinas
CA_20051124,Parque Nacional De Doñana,Marismillas,Orilla del Río,True,Poca,Marisma
CA_20051219,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Brazo De La Torre,True,Sí,Otros
CA_20051219,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Brazo De Los Pobres,True,Poca,Otros
CA_20051219,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Cantaritas,True,Muy poca,Arrozal
CA_20051219,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Del Buen Tiro,True,Sí,Marisma
CA_20051219,Parque Nacional De Doñana,Marisma De Hinojos,Caño Guadiamar PNAC,True,No,Marisma
CA_20051219,Parque Nacional De Doñana,El Puntal,Caño Junquera A Veta Carrizosa,True,Muy poca,Marisma
CA_20051219,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Travieso,True,No,Marisma
CA_20051219,Parque Nacional De Doñana,Marismillas,De Aguas Rubias Al Hondón,True,Muy poca,Marisma
CA_20051219,Parque Nacional De Doñana,Marisma de Los Sotos,Marisma de Los Sotos,True,Muy poca,Marisma
CA_20051219,Parque Nacional De Doñana,Marisma De Hinojos,De Matasgordas A Resolimán,True,No,Marisma
CA_20051219,Parque Nacional De Doñana,Marisma RBD,Marisma RBD,True,Muy poca,Marisma
CA_20051219,Parque Nacional De Doñana,El Puntal,Marisma de El Puntal,True,No,Marisma
CA_20051219,Parque Natural Norte,Entremuros,Entremuros De Los Pobres,True,Muy poca,Otros
CA_20051219,Parque Natural Norte,Otros Cultivos,La Sarteneja,True,No,Arrozal
CA_20051219,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucio De Los Ánsares,True,No,Marisma
CA_20051219,Veta La Palma,Veta La Palma,Lucio De Los Cangrejos,True,No,Otros
CA_20051219,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio De Marilopez Chico,True,No,Marisma
CA_20051219,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio De Marilopez Grande,True,Poca,Marisma
CA_20051219,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucio Del Cangrejo Chico,True,Muy poca,Marisma
CA_20051219,Parque Natural Norte,Entremuros,Lucio Del Cangrejo Grande,True,Muy poca,Marisma
CA_20051219,Parque Nacional De Doñana,Marismillas,Lucio Del Hondón,True,Sí,Marisma
CA_20051219,Veta La Palma,Veta La Palma,Lucio Del Hotel,True,Mucha,Otros
CA_20051219,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Chico,True,No,Marisma
CA_20051219,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Grande,True,Mucha,Marisma
CA_20051219,Parque Nacional De Doñana,Marismillas,Lucio Del Membrillo,True,No,Marisma
CA_20051219,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucios Al Norte Del Buen Tiro,True,Muy poca,Marisma
CA_20051219,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucios Al Sur De Los Ánsares,True,No,Marisma
CA_20051219,Parque Nacional De Doñana,Marismillas,Lucios De Veta Lengua Y Aguas Rubias,True,Muy poca,Marisma
CA_20051219,Parque Nacional De Doñana,El Puntal,Lucios Del Caballero y El Puntal,True,Muy poca,Marisma
CA_20051219,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,Marismas Del Rocío,True,Sí,Marisma
CA_20051219,Veta La Palma,Veta La Palma,El Italiano,True,No,Arrozal
CA_20051219,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Arrozales De Puebla E Isla Mayor,True,Poca,Arrozal
CA_20051219,Veta La Palma,Veta La Palma,Arrozales De Tarfia,True,No,Arrozal
CA_20051219,Veta La Palma,Veta La Palma,Balsas AB,True,Sí,Acuicultura
CA_20051219,Parque Natural Norte,Colonia De La Isleta De Puebla,Colonia De La Isleta De Puebla,False,Desconocido,Otros
CA_20051219,Veta La Palma,Veta La Palma,Cuquero Grande Y Chico,True,Mucha,Acuicultura
CA_20051219,Parque Natural Norte,Dehesa De Abajo,Dehesa De Abajo,True,Sí,Otros
CA_20051219,Veta La Palma,Veta La Palma,Esparragosilla,True,Mucha,Acuicultura
CA_20051219,Veta La Palma,Veta La Palma,Gavetas,True,Sí,Acuicultura
CA_20051219,Parque Natural Norte,Guadiamar Encauzado,Caño Guadiamar PNAT,True,Muy poca,Marisma
CA_20051219,Parque Natural Norte,Hato Blanco,Hato Blanco,True,No,Arrozal
CA_20051219,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,True,Sí,Otros
CA_20051219,Parque Nacional De Doñana,Los Caracoles,Los Caracoles,True,No,Marisma
CA_20051219,Parque Nacional De Doñana,Lucio De La FAO,Lucio De La FAO,True,Mucha,Otros
CA_20051219,Veta La Palma,Veta La Palma,Lucio Del Bocón,True,Sí,Acuicultura
CA_20051219,Parque Nacional De Doñana,Marisma De Hinojos,Marisma De Hinojos,True,No,Marisma
CA_20051219,Parque Natural Norte,Marismas del Coto del Rey,Marismas del Coto del Rey,True,No,Marisma
CA_20051219,Parque Nacional De Doñana,Matasgordas,Matasgordas,True,No,Marisma
CA_20051219,Parque Nacional De Doñana,El Partido,El Partido,True,No,Otros
CA_20051219,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,True,Sí,Salinas
CA_20051219,Salinas De Bonanza,Salinas De Bonanza,Salinas Portugueses,True,Sí,Salinas
CA_20051219,Parque Nacional De Doñana,Marismillas,Orilla del Río,True,Muy poca,Marisma
CA_20060118,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Brazo De La Torre,True,Poca,Otros
CA_20060118,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Brazo De Los Pobres,True,Poca,Otros
CA_20060118,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Cantaritas,True,Muy poca,Arrozal
CA_20060118,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Del Buen Tiro,True,Sí,Marisma
CA_20060118,Parque Nacional De Doñana,Marisma De Hinojos,Caño Guadiamar PNAC,True,No,Marisma
CA_20060118,Parque Nacional De Doñana,El Puntal,Caño Junquera A Veta Carrizosa,True,Muy poca,Marisma
CA_20060118,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Travieso,True,No,Marisma
CA_20060118,Parque Nacional De Doñana,Marismillas,De Aguas Rubias Al Hondón,True,Muy poca,Marisma
CA_20060118,Parque Nacional De Doñana,Marisma de Los Sotos,Marisma de Los Sotos,True,Poca,Marisma
CA_20060118,Parque Nacional De Doñana,Marisma De Hinojos,De Matasgordas A Resolimán,True,No,Marisma
CA_20060118,Parque Nacional De Doñana,Marisma RBD,Marisma RBD,True,Muy poca,Marisma
CA_20060118,Parque Nacional De Doñana,El Puntal,Marisma de El Puntal,True,No,Marisma
CA_20060118,Parque Natural Norte,Entremuros,Entremuros De Los Pobres,True,Muy poca,Otros
CA_20060118,Parque Natural Norte,Otros Cultivos,La Sarteneja,True,No,Arrozal
CA_20060118,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucio De Los Ánsares,True,No,Marisma
CA_20060118,Veta La Palma,Veta La Palma,Lucio De Los Cangrejos,True,No,Otros
CA_20060118,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio De Marilopez Chico,True,No,Marisma
CA_20060118,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio De Marilopez Grande,True,Sí,Marisma
CA_20060118,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucio Del Cangrejo Chico,True,No,Marisma
CA_20060118,Parque Natural Norte,Entremuros,Lucio Del Cangrejo Grande,True,Poca,Marisma
CA_20060118,Parque Nacional De Doñana,Marismillas,Lucio Del Hondón,True,Mucha,Marisma
CA_20060118,Veta La Palma,Veta La Palma,Lucio Del Hotel,True,Sí,Otros
CA_20060118,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Chico,True,No,Marisma
CA_20060118,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Grande,True,Mucha,Marisma
CA_20060118,Parque Nacional De Doñana,Marismillas,Lucio Del Membrillo,True,No,Marisma
CA_20060118,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucios Al Norte Del Buen Tiro,True,No,Marisma
CA_20060118,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucios Al Sur De Los Ánsares,True,Muy poca,Marisma
CA_20060118,Parque Nacional De Doñana,Marismillas,Lucios De Veta Lengua Y Aguas Rubias,True,Poca,Marisma
CA_20060118,Parque Nacional De Doñana,El Puntal,Lucios Del Caballero y El Puntal,True,Muy poca,Marisma
CA_20060118,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,Marismas Del Rocío,True,Mucha,Marisma
CA_20060118,Veta La Palma,Veta La Palma,El Italiano,True,No,Arrozal
CA_20060118,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Arrozales De Puebla E Isla Mayor,True,Poca,Arrozal
CA_20060118,Veta La Palma,Veta La Palma,Arrozales De Tarfia,True,No,Arrozal
CA_20060118,Veta La Palma,Veta La Palma,Balsas AB,True,Sí,Acuicultura
CA_20060118,Parque Natural Norte,Colonia De La Isleta De Puebla,Colonia De La Isleta De Puebla,False,Desconocido,Otros
CA_20060118,Veta La Palma,Veta La Palma,Cuquero Grande Y Chico,True,Mucha,Acuicultura
CA_20060118,Parque Natural Norte,Dehesa De Abajo,Dehesa De Abajo,True,Sí,Otros
CA_20060118,Veta La Palma,Veta La Palma,Esparragosilla,True,Mucha,Acuicultura
CA_20060118,Veta La Palma,Veta La Palma,Gavetas,True,Sí,Acuicultura
CA_20060118,Parque Natural Norte,Guadiamar Encauzado,Caño Guadiamar PNAT,True,No,Marisma
CA_20060118,Parque Natural Norte,Hato Blanco,Hato Blanco,True,No,Arrozal
CA_20060118,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,True,Sí,Otros
CA_20060118,Parque Nacional De Doñana,Los Caracoles,Los Caracoles,True,No,Marisma
CA_20060118,Parque Nacional De Doñana,Lucio De La FAO,Lucio De La FAO,True,Mucha,Otros
CA_20060118,Veta La Palma,Veta La Palma,Lucio Del Bocón,True,Sí,Acuicultura
CA_20060118,Parque Nacional De Doñana,Marisma De Hinojos,Marisma De Hinojos,True,No,Marisma
CA_20060118,Parque Natural Norte,Marismas del Coto del Rey,Marismas del Coto del Rey,True,No,Marisma
CA_20060118,Parque Nacional De Doñana,Matasgordas,Matasgordas,True,No,Marisma
CA_20060118,Parque Nacional De Doñana,El Partido,El Partido,True,Poca,Otros
CA_20060118,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,True,Sí,Salinas
CA_20060118,Salinas De Bonanza,Salinas De Bonanza,Salinas Portugueses,True,Sí,Salinas
CA_20060118,Parque Nacional De Doñana,Marismillas,Orilla del Río,True,Muy poca,Marisma
CA_20060213,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Brazo De La Torre,True,Sí,Otros
CA_20060213,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Brazo De Los Pobres,False,Desconocido,Otros
CA_20060213,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Cantaritas,True,Muy poca,Arrozal
CA_20060213,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Del Buen Tiro,True,Mucha,Marisma
CA_20060213,Parque Nacional De Doñana,Marisma De Hinojos,Caño Guadiamar PNAC,True,Mucha,Marisma
CA_20060213,Parque Nacional De Doñana,El Puntal,Caño Junquera A Veta Carrizosa,True,Sí,Marisma
CA_20060213,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Travieso,True,Sí,Marisma
CA_20060213,Parque Nacional De Doñana,Marismillas,De Aguas Rubias Al Hondón,True,Sí,Marisma
CA_20060213,Parque Nacional De Doñana,Marisma de Los Sotos,Marisma de Los Sotos,True,Sí,Marisma
CA_20060213,Parque Nacional De Doñana,Marisma De Hinojos,De Matasgordas A Resolimán,True,Sí,Marisma
CA_20060213,Parque Nacional De Doñana,Marisma RBD,Marisma RBD,True,Mucha,Marisma
CA_20060213,Parque Nacional De Doñana,El Puntal,Marisma de El Puntal,True,Sí,Marisma
CA_20060213,Parque Natural Norte,Entremuros,Entremuros De Los Pobres,False,Desconocido,Otros
CA_20060213,Parque Natural Norte,Otros Cultivos,La Sarteneja,False,Desconocido,Arrozal
CA_20060213,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucio De Los Ánsares,True,Sí,Marisma
CA_20060213,Veta La Palma,Veta La Palma,Lucio De Los Cangrejos,False,Desconocido,Otros
CA_20060213,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio De Marilopez Chico,True,Mucha,Marisma
CA_20060213,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio De Marilopez Grande,True,Mucha,Marisma
CA_20060213,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucio Del Cangrejo Chico,True,Muy poca,Marisma
CA_20060213,Parque Natural Norte,Entremuros,Lucio Del Cangrejo Grande,True,Muy poca,Marisma
CA_20060213,Parque Nacional De Doñana,Marismillas,Lucio Del Hondón,True,Mucha,Marisma
CA_20060213,Veta La Palma,Veta La Palma,Lucio Del Hotel,False,Desconocido,Otros
CA_20060213,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Chico,True,Sí,Marisma
CA_20060213,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Grande,True,Mucha,Marisma
CA_20060213,Parque Nacional De Doñana,Marismillas,Lucio Del Membrillo,True,Sí,Marisma
CA_20060213,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucios Al Norte Del Buen Tiro,True,Sí,Marisma
CA_20060213,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucios Al Sur De Los Ánsares,True,Sí,Marisma
CA_20060213,Parque Nacional De Doñana,Marismillas,Lucios De Veta Lengua Y Aguas Rubias,True,Sí,Marisma
CA_20060213,Parque Nacional De Doñana,El Puntal,Lucios Del Caballero y El Puntal,True,Mucha,Marisma
CA_20060213,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,Marismas Del Rocío,True,Mucha,Marisma
CA_20060213,Veta La Palma,Veta La Palma,El Italiano,False,Desconocido,Arrozal
CA_20060213,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Arrozales De Puebla E Isla Mayor,False,Desconocido,Arrozal
CA_20060213,Veta La Palma,Veta La Palma,Arrozales De Tarfia,True,No,Arrozal
CA_20060213,Veta La Palma,Veta La Palma,Balsas AB,True,Sí,Acuicultura
CA_20060213,Parque Natural Norte,Colonia De La Isleta De Puebla,Colonia De La Isleta De Puebla,False,Desconocido,Otros
CA_20060213,Parque Natural Norte,Dehesa De Abajo,Dehesa De Abajo,False,Desconocido,Otros
CA_20060213,Veta La Palma,Veta La Palma,Esparragosilla,True,Sí,Acuicultura
CA_20060213,Veta La Palma,Veta La Palma,Gavetas,True,Sí,Acuicultura
CA_20060213,Parque Natural Norte,Guadiamar Encauzado,Caño Guadiamar PNAT,True,Poca,Marisma
CA_20060213,Parque Natural Norte,Hato Blanco,Hato Blanco,True,Muy poca,Arrozal
CA_20060213,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,True,Sí,Otros
CA_20060213,Parque Nacional De Doñana,Los Caracoles,Los Caracoles,True,Sí,Marisma
CA_20060213,Parque Nacional De Doñana,Lucio De La FAO,Lucio De La FAO,True,Mucha,Otros
CA_20060213,Veta La Palma,Veta La Palma,Lucio Del Bocón,True,Sí,Acuicultura
CA_20060213,Parque Nacional De Doñana,Marisma De Hinojos,Marisma De Hinojos,True,Mucha,Marisma
CA_20060213,Parque Natural Norte,Marismas del Coto del Rey,Marismas del Coto del Rey,True,Poca,Marisma
CA_20060213,Parque Nacional De Doñana,Matasgordas,Matasgordas,True,Poca,Marisma
CA_20060213,Parque Nacional De Doñana,El Partido,El Partido,True,Muy poca,Otros
CA_20060213,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,True,Sí,Salinas
CA_20060213,Parque Nacional De Doñana,Marismillas,Orilla del Río,True,Sí,Marisma
CA_20060322,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Brazo De La Torre,True,Poca,Otros
CA_20060322,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Brazo De Los Pobres,True,Mucha,Otros
CA_20060322,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Cantaritas,True,Sí,Arrozal
CA_20060322,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Del Buen Tiro,True,Mucha,Marisma
CA_20060322,Parque Nacional De Doñana,Marisma De Hinojos,Caño Guadiamar PNAC,True,Mucha,Marisma
CA_20060322,Parque Nacional De Doñana,El Puntal,Caño Junquera A Veta Carrizosa,True,Sí,Marisma
CA_20060322,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Travieso,True,Sí,Marisma
CA_20060322,Parque Nacional De Doñana,Marismillas,De Aguas Rubias Al Hondón,True,Poca,Marisma
CA_20060322,Parque Nacional De Doñana,Marisma de Los Sotos,Marisma de Los Sotos,True,Mucha,Marisma
CA_20060322,Parque Nacional De Doñana,Marisma De Hinojos,De Matasgordas A Resolimán,True,Poca,Marisma
CA_20060322,Parque Nacional De Doñana,Marisma RBD,Marisma RBD,True,Sí,Marisma
CA_20060322,Parque Nacional De Doñana,El Puntal,Marisma de El Puntal,True,Poca,Marisma
